column_name,data_type,is_key,business_description
txn_code_v2,DATETIME,NONE,secondary reference index for cross-table lookup
addr_cat_v2,"DECIMAL(10,2)",NONE,categorical label for domain classification
order_name_pk,"DECIMAL(10,2)",PRIMARY,normalized quantitative value for aggregate reporting
cust_amt_sys,DATETIME,NONE,categorical label for domain classification
order_code_fk,INTEGER,FOREIGN,categorical label for domain classification
dept_desc_raw,DATETIME,NONE,foreign key mapping to parent entity relational graph
txn_qty_fk,"DECIMAL(10,2)",FOREIGN,status flag indicating current operational state
dept_uuid_pk,"DECIMAL(10,2)",PRIMARY,categorical label for domain classification
supp_cat_01,INTEGER,NONE,status flag indicating current operational state
prod_id_fk,INTEGER,FOREIGN,secondary reference index for cross-table lookup
prod_qty_pk,INTEGER,PRIMARY,descriptive string for human-readable indexing
cust_id_raw,UUID,NONE,secondary reference index for cross-table lookup
supp_uuid_sys,"DECIMAL(10,2)",NONE,descriptive string for human-readable indexing
addr_stat_fk,"DECIMAL(10,2)",FOREIGN,categorical label for domain classification
inv_cat_raw,UUID,NONE,foreign key mapping to parent entity relational graph
addr_name_01,UUID,NONE,descriptive string for human-readable indexing
cust_amt_sys,"DECIMAL(10,2)",NONE,secondary reference index for cross-table lookup
cust_name_sys,INTEGER,NONE,descriptive string for human-readable indexing
order_uuid_norm,VARCHAR(255),NONE,normalized quantitative value for aggregate reporting
prod_stat_pk,"DECIMAL(10,2)",PRIMARY,temporal marker for transaction lifecycle
supp_qty_v2,UUID,NONE,unique identifier for the primary record
inv_desc_fk,"DECIMAL(10,2)",FOREIGN,temporal marker for transaction lifecycle
inv_id_raw,INTEGER,NONE,unique identifier for the primary record
emp_stat_sys,INTEGER,NONE,secondary reference index for cross-table lookup
sale_amt_v2,UUID,NONE,temporal marker for transaction lifecycle
addr_stat_pk,INTEGER,PRIMARY,unique identifier for the primary record
order_code_norm,"DECIMAL(10,2)",NONE,unique identifier for the primary record
prod_name_raw,DATETIME,NONE,secondary reference index for cross-table lookup
dept_stat_v2,DATETIME,NONE,normalized quantitative value for aggregate reporting
sale_ref_norm,INTEGER,NONE,descriptive string for human-readable indexing
dept_desc_pk,UUID,PRIMARY,unique identifier for the primary record
cust_name_01,VARCHAR(255),NONE,unique identifier for the primary record
user_stat_raw,VARCHAR(255),NONE,descriptive string for human-readable indexing
inv_amt_01,VARCHAR(255),NONE,unique identifier for the primary record
inv_id_01,DATETIME,NONE,normalized quantitative value for aggregate reporting
user_dt_pk,VARCHAR(255),PRIMARY,descriptive string for human-readable indexing
supp_ref_sys,UUID,NONE,status flag indicating current operational state
txn_stat_norm,"DECIMAL(10,2)",NONE,status flag indicating current operational state
emp_qty_pk,VARCHAR(255),PRIMARY,secondary reference index for cross-table lookup
sale_desc_pk,"DECIMAL(10,2)",PRIMARY,secondary reference index for cross-table lookup
cust_name_fk,INTEGER,FOREIGN,foreign key mapping to parent entity relational graph
emp_cat_sys,UUID,NONE,status flag indicating current operational state
user_name_norm,UUID,NONE,unique identifier for the primary record
txn_dt_pk,UUID,PRIMARY,secondary reference index for cross-table lookup
order_qty_sys,VARCHAR(255),NONE,descriptive string for human-readable indexing
dept_name_raw,INTEGER,NONE,foreign key mapping to parent entity relational graph
inv_id_pk,INTEGER,PRIMARY,categorical label for domain classification
cust_ref_fk,VARCHAR(255),FOREIGN,categorical label for domain classification
user_cat_01,INTEGER,NONE,normalized quantitative value for aggregate reporting
supp_name_v2,UUID,NONE,temporal marker for transaction lifecycle
txn_desc_raw,DATETIME,NONE,status flag indicating current operational state
emp_dt_v2,DATETIME,NONE,categorical label for domain classification
emp_code_raw,INTEGER,NONE,temporal marker for transaction lifecycle
order_uuid_norm,"DECIMAL(10,2)",NONE,temporal marker for transaction lifecycle
user_stat_fk,"DECIMAL(10,2)",FOREIGN,categorical label for domain classification
user_cat_pk,INTEGER,PRIMARY,categorical label for domain classification
cust_amt_raw,DATETIME,NONE,status flag indicating current operational state
inv_qty_sys,UUID,NONE,categorical label for domain classification
sale_uuid_norm,"DECIMAL(10,2)",NONE,categorical label for domain classification
order_amt_raw,VARCHAR(255),NONE,temporal marker for transaction lifecycle
addr_ref_pk,UUID,PRIMARY,normalized quantitative value for aggregate reporting
user_cat_sys,INTEGER,NONE,categorical label for domain classification
addr_stat_norm,INTEGER,NONE,unique identifier for the primary record
emp_code_raw,VARCHAR(255),NONE,foreign key mapping to parent entity relational graph
txn_stat_sys,UUID,NONE,categorical label for domain classification
txn_amt_01,UUID,NONE,secondary reference index for cross-table lookup
txn_ref_raw,INTEGER,NONE,unique identifier for the primary record
txn_id_raw,UUID,NONE,foreign key mapping to parent entity relational graph
order_dt_fk,VARCHAR(255),FOREIGN,descriptive string for human-readable indexing
sale_name_fk,UUID,FOREIGN,temporal marker for transaction lifecycle
emp_qty_norm,"DECIMAL(10,2)",NONE,foreign key mapping to parent entity relational graph
user_ref_norm,INTEGER,NONE,status flag indicating current operational state
supp_cat_norm,INTEGER,NONE,status flag indicating current operational state
